,Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,USD_MSRP,Total_Quantity,Current_Price,lastUpdated,US_retailPrice,ownedBy,wantedBy
0,10015-1,Green Passenger Wagon,2001.0,Trains,Modern day,9V,Normal,Box,1.0,Retail - limited,194.0,,1846.0,3.8,19.99,5.0,84.44,2019-09-17T02:50:04.52Z,19.99,1848.0,1001.0
2,10047-1,Arch,2002.0,Bulk Bricks,Basic,,Normal,Polybag,0.0,LEGO exclusive,36.0,,104.0,0.0,5.99,3.0,7.95,,,,
3,10062-1,Red Plates,2002.0,Bulk Bricks,Basic,,Normal,Polybag,0.0,LEGO exclusive,84.0,,63.0,0.0,4.99,2.0,7.0,,,,
4,10073-1,Technic Bushes,2003.0,Bulk Bricks,Basic,Technic,Normal,Polybag,0.0,LEGO exclusive,130.0,,111.0,0.0,9.99,1.0,10.98,,,,
5,10078-1,Train Connection Wire,2003.0,Trains,Modern day,9V,Normal,Polybag,0.0,LEGO exclusive,1.0,,332.0,0.0,8.99,2.0,75.0,,,,
6,10080-1,Angel,2003.0,Seasonal,Miscellaneous,Christmas,Normal,Polybag,1.0,LEGO exclusive,33.0,,608.0,0.0,2.49,1.0,15.0,,,,
7,10143-1,Death Star II,2005.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,1.0,LEGO exclusive,3441.0,,2884.0,4.4,269.99,6.0,1800.0,2023-02-05T11:11:40.16Z,269.99,2888.0,8409.0
8,10144-1,Sandcrawler,2005.0,Star Wars,Licensed,Episode IV,Normal,Box,1.0,LEGO exclusive,1669.0,11.0,4564.0,4.4,139.99,5.0,388.88,2023-02-05T11:11:50.3Z,139.99,4568.0,4954.0
9,10153-1,Train Motor 9 V,2002.0,Trains,Modern day,9V,Normal,Box,1.0,Retail - limited,3.0,,1251.0,4.2,24.99,16.0,114.99,,,,
11,10168-1,Mrs. Bunny,2005.0,Seasonal,Miscellaneous,Easter,Normal,Polybag,1.0,LEGO exclusive,61.0,,208.0,0.0,3.99,1.0,9.0,,,,
12,10173-1,Holiday Train,2006.0,Advanced models,Model making,Trains,Normal,Box,2.0,LEGO exclusive,965.0,7.0,2156.0,4.2,89.99,2.0,499.97,2023-02-05T11:09:19.25Z,89.99,2160.0,3284.0
13,10174-1,Imperial AT-ST,2006.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,3.0,LEGO exclusive,1068.0,,5777.0,4.4,79.99,5.0,570.0,2023-02-05T11:10:09.533Z,79.99,5788.0,6114.0
14,10175-1,Vader's TIE Advanced,2006.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,2.0,LEGO exclusive,1212.0,,3477.0,4.4,99.99,3.0,979.0,2023-02-05T11:10:24.797Z,99.99,3476.0,6657.0
15,10176-1,King's Castle,2006.0,Castle,Historical,Knights' Kingdom II,Normal,Box,4.0,LEGO exclusive,869.0,12.0,1202.0,4.4,99.99,1.0,499.0,,,,
16,10177-1,Boeing 787 Dreamliner,2006.0,Advanced models,Model making,Aircraft,Normal,Box,2.0,LEGO exclusive,1197.0,,1576.0,4.5,79.99,3.0,635.0,,,,
17,10178-1,Motorized Walking AT-AT,2007.0,Star Wars,Licensed,Episode V,Normal,Box,3.0,LEGO exclusive,1137.0,4.0,5869.0,4.5,129.99,1.0,590.0,2023-02-05T11:05:47.743Z,129.99,5871.0,5890.0
18,10179-1,Ultimate Collector's Millennium Falcon,2007.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,1.0,LEGO exclusive,5197.0,5.0,4567.0,4.7,499.99,1.0,1645.9363,2019-07-03T22:14:57.957Z,499.99,4572.0,9901.0
20,10182-1,Cafe Corner,2007.0,Advanced models,Model making,Modular Buildings Collection,Normal,Box,2.0,LEGO exclusive,2056.0,3.0,7307.0,4.4,139.99,4.0,1850.0,2021-12-07T08:12:48.947Z,139.99,7320.0,13949.0
21,10184-1,Town Plan,2008.0,Advanced models,Model making,Miscellaneous,Normal,Box,2.0,LEGO exclusive,1981.0,8.0,3583.0,4.7,149.99,2.0,335.9511,2023-02-05T10:58:50.34Z,149.99,3588.0,5278.0
22,10185-1,Green Grocer,2008.0,Advanced models,Model making,Modular Buildings Collection,Normal,Box,3.0,LEGO exclusive,2352.0,4.0,9048.0,4.6,149.99,5.0,1500.0,2023-02-05T10:59:33.36Z,149.99,9052.0,13730.0
23,10186-1,General Grievous,2008.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,2.0,LEGO exclusive,1085.0,,2675.0,4.2,89.99,3.0,350.0,2023-02-05T11:01:15.233Z,89.99,2681.0,3904.0
24,10187-1,Volkswagen Beetle,2008.0,Advanced models,Model making,Vehicles,Normal,Box,2.0,LEGO exclusive,1626.0,,1787.0,4.3,119.99,1.0,625.0,2023-02-05T11:02:03.48Z,119.99,1791.0,3626.0
25,10188-1,Death Star,2008.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,3.0,LEGO exclusive,3803.0,24.0,14793.0,4.5,399.99,14.0,869.99,2023-02-05T11:02:15.423Z,399.99,14816.0,8329.0
27,10190-1,Market Street,2007.0,Advanced models,Model making,Modular Buildings Collection,Normal,Box,0.0,LEGO exclusive,1248.0,3.0,4627.0,4.3,89.99,2.0,3099.99,2021-12-07T08:14:45.06Z,89.99,4631.0,8974.0
28,10191-1,Star Justice,2008.0,Factory,Miscellaneous,Space,Normal,Box,0.0,LEGO exclusive,895.0,8.0,491.0,0.0,99.99,1.0,109.2469,,,,
29,10192-1,Space Skulls,2008.0,Factory,Miscellaneous,Space,Normal,Box,0.0,LEGO exclusive,956.0,4.0,606.0,3.9,99.99,2.0,74.7789,2023-02-05T11:04:14.997Z,99.99,608.0,632.0
30,10193-1,Medieval Market Village,2009.0,Castle,Historical,Fantasy Era,Normal,Box,2.0,LEGO exclusive,1601.0,8.0,10710.0,4.6,99.99,15.0,419.99,2023-02-05T10:57:07.113Z,99.99,10725.0,5845.0
31,10194-1,Emerald Night,2009.0,Advanced models,Model making,Trains,Normal,Box,2.0,LEGO exclusive,1085.0,3.0,6085.0,4.6,99.99,8.0,743.2448,2023-02-05T10:57:18.7Z,99.99,6099.0,5413.0
32,10195-1,Republic Dropship with AT-OT Walker,2009.0,Star Wars,Licensed,The Clone Wars,Normal,Box,6.0,LEGO exclusive,1758.0,8.0,4187.0,4.5,249.99,3.0,1439.5109,2009-03-23T11:16:54.11Z,249.99,4200.0,9604.0
33,10196-1,Grand Carousel,2009.0,Advanced models,Model making,Fairground Collection,Normal,Box,2.0,LEGO exclusive,3263.0,9.0,2463.0,4.3,249.99,1.0,2380.7918,,,,
34,10197-1,Fire Brigade,2009.0,Advanced models,Model making,Modular Buildings Collection,Normal,Box,4.0,LEGO exclusive,2231.0,4.0,16804.0,4.5,149.99,11.0,723.0887,2023-02-05T10:57:47.61Z,149.99,16818.0,10745.0
35,10198-1,Tantive IV,2009.0,Star Wars,Licensed,Episode IV,Normal,Box,2.0,LEGO exclusive,1408.0,5.0,5851.0,4.4,149.99,3.0,379.95,2015-10-13T20:27:08.977Z,149.99,5862.0,7698.0
36,10199-1,Winter Village Toy Shop,2009.0,Advanced models,Model making,Winter Village Collection,Normal,Box,1.0,LEGO exclusive,815.0,7.0,11264.0,4.1,59.99,10.0,220.2346,2023-02-05T10:57:33.307Z,59.99,11271.0,4937.0
37,10200-1,Custom Car Garage,2008.0,Factory,Miscellaneous,Custom Cars,Normal,Box,0.0,LEGO exclusive,893.0,4.0,729.0,0.0,69.99,2.0,110.6153,2023-02-05T11:05:01.49Z,69.99,730.0,1268.0
38,10210-1,Imperial Flagship,2010.0,Advanced models,Model making,Miscellaneous,Normal,Box,4.0,LEGO exclusive,1664.0,9.0,5433.0,4.6,179.99,7.0,1275.374,2023-02-05T10:55:12.527Z,179.99,5435.0,7510.0
39,10211-1,Grand Emporium,2010.0,Advanced models,Model making,Modular Buildings Collection,Normal,Box,6.0,LEGO exclusive,2182.0,7.0,19906.0,4.4,149.99,19.0,514.99,2023-02-05T10:55:23.527Z,149.99,19929.0,10603.0
40,10212-1,Imperial Shuttle,2010.0,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,8.0,LEGO exclusive,2503.0,5.0,7361.0,4.5,259.99,9.0,1050.0,2016-05-18T15:20:48.72Z,259.99,7365.0,11656.0
41,10213-1,Shuttle Adventure,2010.0,Advanced models,Model making,Space,Normal,Box,2.0,LEGO exclusive,1204.0,3.0,3916.0,4.5,99.99,1.0,389.99,2012-09-15T00:54:11.373Z,99.99,3921.0,3943.0
